,variable,relative_importance,scaled_importance,percentage
39,remainder__lv2_desc.Jewelry and perfume,37.07082748413086,0.006476663961056272,0.002783492193047327
40,remainder__lv4.3.2.1.0,37.04499816894531,0.0064721513076801745,0.0027815527786330817
41,remainder__lv4.3.6.1.0,36.24879455566406,0.0063330461514759075,0.002721769205078023
42,remainder__chain_name.MIX,35.65337371826172,0.006229019860697356,0.0026770615639228152
43,remainder__lv4.2.9.9.0,35.52097702026367,0.006205888763263562,0.0026671204538836458
44,remainder__lv4.1.1.6.3,35.4471321105957,0.006192987279870489,0.0026615757508514555
45,remainder__lv4.3.3.3.0,30.01614761352539,0.005244137093553821,0.0022537860149836075
46,remainder__lv4.3.4.3.0,27.636817932128906,0.004828443141063313,0.002075132177388858
47,pipeline__lv4_desc_in_radius,27.432279586791992,0.0047927081381027034,0.0020597742551070356
48,remainder__lv4.2.8.10.0,27.389373779296875,0.004785212041684499,0.002056552638857704
49,remainder__lv1_desc.Dining and Experiences,26.145431518554688,0.004567882228552257,0.0019631502573527393
50,remainder__chain_name.ESSO NORGE,25.25689125061035,0.004412644886364363,0.0018964335135711232
51,remainder__lv4.2.9.1.0,25.211204528808594,0.004404662934930479,0.0018930030901872495
52,remainder__chain_name.LEATHERMAN HOLDING,24.88202476501465,0.00434715176354414,0.0018682863691207492
53,remainder__chain_name.JOKER,24.00952911376953,0.004194717584862356,0.0018027743479836936
54,remainder__lv2_desc.Clothing stores,20.44091796875,0.003571243636139044,0.0015348223777603227
55,remainder__lv4.2.1.6.0,18.87869644165039,0.003298307083317729,0.001417521747598946
56,remainder__chain_name.YX NORGE,18.575729370117188,0.003245375545319937,0.001394773227115445
57,remainder__chain_name.ELKJØP NORGE,17.80352210998535,0.0031104628047208013,0.0013367914385807394
58,remainder__chain_name.SPECSAVERS NORWAY,17.469135284423828,0.0030520419048071586,0.0013116837411923598
59,remainder__chain_name.MENY,17.327077865600586,0.003027222977706407,0.00130101724834355
60,remainder__chain_name.JAFS,16.89666748046875,0.0029520257506943847,0.0012686995465783597
61,remainder__lv4.2.9.3.0,16.542932510375977,0.0028902245261723286,0.00124213907856392
62,remainder__lv2_desc.Beauty and wellbeing,15.924797058105469,0.002782229752964598,0.001195725892713745
63,remainder__lv2_desc.Other Retail,15.794097900390625,0.002759395233695383,0.0011859122438198039
64,remainder__lv4.2.3.5.0,14.906959533691406,0.002604402818418687,0.0011193007628940786
65,remainder__lv2_desc.Pubs and bars,14.78314208984375,0.002582770607034641,0.0011100038328900057
66,remainder__lv4.2.8.5.0,14.141349792480469,0.0024706427338546952,0.0010618143542485234
67,remainder__t_district.NensetSkien,13.969076156616211,0.0024405447154244404,0.001048879053014654
68,remainder__grunnkrets_id.16011417,13.965712547302246,0.0024399570574545138,0.0010486264937679016
69,remainder__lv4.1.1.6.1,13.497774124145508,0.0023582032869849954,0.0010134909697971665
70,remainder__chain_name.MUDO,13.391347885131836,0.002339609502235365,0.0010054998720652167
71,remainder__chain_name.SPORT 1 BUTIKKENE,13.319116592407227,0.002326989934715588,0.0010000763287283778
72,remainder__chain_name.MATKROKEN,13.213138580322266,0.0023084744599307623,0.0009921188864673587
73,remainder__municipality_name.Tromsø,11.943324089050293,0.002086624495659834,0.0008967738682158254
74,remainder__lv4.2.1.3.0,11.882955551147461,0.0020760774763362347,0.0008922410491404987
75,remainder__chain_name.BEST STASJON,11.854244232177734,0.0020710613065481388,0.0008900852372089055
76,remainder__lv4.3.3.6.0,10.4979248046875,0.0018340980189207753,0.000788244927889843
77,remainder__t_district.InnbygdaTrysil,10.087295532226562,0.0017623567606108283,0.0007574125065034845
78,remainder__grunnkrets_id.3010101,9.775947570800781,0.0017079609928881381,0.0007340347003209587
79,remainder__lv4.2.5.2.0,9.757499694824219,0.0017047379546771195,0.0007326495270663005
80,remainder__t_district.FossumOslo,9.58835220336914,0.0016751861065971397,0.0007199489548403285
81,remainder__chain_name.NARVESEN,9.564163208007812,0.0016709600343688374,0.0007181327051282136
82,remainder__t_district.FjellheimDrammen,9.434560775756836,0.0016483171245879737,0.0007084014047269759
83,remainder__chain_name.COOP EXTRA,9.418230056762695,0.0016454639759979465,0.0007071751998669279
84,remainder__t_district.HomansbyenOslo,9.149360656738281,0.0015984896603014763,0.000686986929825272
85,remainder__chain_name.BOHUS,9.139849662780762,0.0015968279894951027,0.00068627278937507
86,remainder__lv4.2.3.4.0,9.066158294677734,0.0015839533314303989,0.0006807396151318579
87,remainder__chain_name.FAGMØBLER NORGE,8.716926574707031,0.0015229388721292086,0.0006545172771891975
88,remainder__chain_name.JERNIA DETALJ,8.581756591796875,0.0014993232526153049,0.0006443679328745656
89,remainder__municipality_name.Oslo,8.293072700500488,0.0014488871366236354,0.0006226918761956044
90,remainder__chain_name.EASYFIT NORGE,8.170258522033691,0.0014274302062671942,0.0006134702771605089
91,remainder__lv4.2.1.2.0,8.152240753173828,0.0014242823122989987,0.0006121173988364676
92,remainder__chain_name.CUBUS,8.135187149047852,0.001421302868063606,0.0006108369155786202
93,remainder__t_district.RodeløkkaOslo,7.96998405456543,0.0013924401476739059,0.0005984325114968412
